from,to,quantity,exports,probability
ARE,HKG,518.82535001,1220.7620279799999,0.42500121900785404
ARE,IND,607.34966149,1220.7620279799999,0.4975168358529173
ARE,JOR,61.72935999999999,1220.7620279799999,0.05056625172241295
ARE,MYS,16.672438749999998,1220.7620279799999,0.013657402808955284
ARE,SAU,15.638471969999998,1220.7620279799999,0.012810418092604865
ARE,TZA,0.54674576,1220.7620279799999,4.4787251525565757e-4
ARG,BRA,266.00393764999995,5620.46594417,0.047327737645296235
ARG,CHL,197.14924580999997,5620.46594417,0.03507702880301215
ARG,CHN,22.36476759,5620.46594417,0.003979166106895201
ARG,HKG,3300.5608528199996,5620.46594417,0.5872397209778679
ARG,PRY,18.739269999999998,5620.46594417,0.003334113254335769
ARG,URY,6.5697676,5620.46594417,0.0011689008821083049
ARG,USA,1605.3172015099997,5620.46594417,0.2856199499216189
AUS,CHN,3520.4672885799996,19072.01991046,0.18458806697497251
AUS,HKG,11819.91801122,19072.01991046,0.6197517655032122
AUS,IDN,0.79476551,19072.01991046,4.1671805804067604e-5
AUS,IND,102.02099512,19072.01991046,0.005349249612729632
AUS,ISR,17.8133296,19072.01991046,9.340033034587137e-4
AUS,JPN,170.19445937999998,19072.01991046,0.00892377735441946
AUS,MAC,79.47765331,19072.01991046,0.004167238377640886
AUS,MYS,501.16965073999995,19072.01991046,0.026277743683831557
AUS,NZL,1633.47350584,19072.01991046,0.08564764054929104
AUS,PAK,22.407757679999996,19072.01991046,0.0011749021752913817
AUS,PHL,444.02369572,19072.01991046,0.023281419472327435
AUS,SGP,109.08569990999999,19072.01991046,0.005719672086236247
AUS,TWN,36.37623,19072.01991046,0.001907308726122373
AUS,USA,112.876544,19072.01991046,0.005918436774391848
AUS,ZAF,124.32734027999999,19072.01991046,0.006518834442481521
BEN,TGO,66.4141775,66.4141775,1
BHR,IND,36.23403201,36.23403201,1
BMU,HKG,63.803907419999994,229.57148983999997,0.277926093804018
BRA,ARG,17.22359375,2813.9846841699996,0.0061207133950980245
BRA,CAN,472.75320124999996,2813.9846841699996,0.16800134126865057
BRA,CHN,166.66816968999998,2813.9846841699996,0.05922852765602727
BRA,COL,55.04164522999999,2813.9846841699996,0.019560037245275497
BRA,EGY,89.28711,2813.9846841699996,0.03172977824018816
BRA,HKG,225.27137853,2813.9846841699996,0.08005423049999472
BRA,PRY,156.82895062999998,2813.9846841699996,0.05573198443908999
BRA,URY,65.61390044,2813.9846841699996,0.023317078024308147
BRA,USA,770.9776601999998,2813.9846841699996,0.27398075921916537
BRB,GBR,78.26401,158.08999326999998,0.4950598604070648
BRB,USA,79.82598327,158.08999326999998,0.5049401395929353
BRN,SGP,29.762369999999997,29.762369999999997,1
CAN,AUS,32.4960988,89263.23727233,3.6404795291995534e-4
CAN,BOL,34.76134585,89263.23727233,3.8942510838978266e-4
CAN,CHE,21.18860282,89263.23727233,2.3737210824380537e-4
CAN,CHL,38.81674433999999,89263.23727233,4.3485700862019356e-4
CAN,CHN,1892.4777749899997,89263.23727233,0.02120108829591635
CAN,CUB,97.2347651,89263.23727233,0.0010893035931841678
CAN,GBR,103.92688910999999,89263.23727233,0.0011642742554018423
CAN,GTM,22.73514375,89263.23727233,2.546977282555658e-4
CAN,HKG,17220.17548669,89263.23727233,0.19291453024668584
CAN,HTI,47.95048499999999,89263.23727233,5.371806632299205e-4
CAN,IND,130.06927306999998,89263.23727233,0.001457142683198642
CAN,JPN,28.108904999999996,89263.23727233,3.1489900947960855e-4
CAN,MEX,1523.3229744699997,89263.23727233,0.017065513429930266
CAN,MYS,81.13993679,89263.23727233,9.089961250503729e-4
CAN,NGA,20.000312639999997,89263.23727233,2.2405990698031442e-4
CAN,NIC,16.396861249999997,89263.23727233,1.8369108886310499e-4
CAN,OMN,27.55775,89263.23727233,3.087245190976555e-4
CAN,SAU,154.48103032999998,89263.23727233,0.0017306232111961091
CAN,SDN,86.05734169999998,89263.23727233,9.640849282381584e-4
CAN,THA,330.693,89263.23727233,0.003704694229171866
CAN,TWN,510.18323961,89263.23727233,0.00571549111593948
CAN,USA,65759.22678578,89263.23727233,0.7366887959167058
CAN,VNM,24.689539379999996,89263.23727233,2.7659247114997145e-4
CHE,ARE,16.465204469999996,36470.21295059999,4.514699295093948e-4
CHE,HKG,54.83110402,36470.21295059999,0.0015034489679089725
CHE,IND,40.45367468999999,36470.21295059999,0.0011092250748520641
CHE,IRN,11.918175719999999,36470.21295059999,3.2679205180796526e-4
CHE,ISR,52.635302499999995,36470.21295059999,0.0014432408873317002
CHE,LKA,12.125409999999999,36470.21295059999,3.324743405371456e-4
CHE,MYS,0.44753786,36470.21295059999,1.2271325659825558e-5
CHE,NOR,39.76362863,36470.21295059999,0.001090304262381496
CHE,PHL,121.53739366999999,36470.21295059999,0.0033325112149640056
CHE,RUS,20.741064959999996,36470.21295059999,5.687124719588118e-4
CHE,SAU,39.629146809999995,36470.21295059999,0.0010866168196955383
CHE,SYR,0.16314188,36470.21295059999,4.47329112722705e-6
CHE,USA,773.4710854199999,36470.21295059999,0.021208296383344125
CHL,ARG,1.0460921899999998,1424.6011931799999,7.343052883908576e-4
CHL,BOL,9.09295519,1424.6011931799999,0.006382807506782072
CHL,BRA,163.31824959999997,1424.6011931799999,0.11464138201052632
CHL,HKG,251.42478558999997,1424.6011931799999,0.17648783869734705
CHL,KOR,25.387301609999998,1424.6011931799999,0.01782063761531069
CHL,PER,16.41008897,1424.6011931799999,0.011519075688382193
CHL,USA,849.0487659499998,1424.6011931799999,0.5959904919458547
CHN,ARE,110.231,18554.01467909,0.005941086169573214
CHN,AUS,2.2729632199999994,18554.01467909,1.2250519681659966e-4
CHN,CAN,38.249054689999994,18554.01467909,0.0020614974899802094
CHN,EGY,3.3069299999999995,18554.01467909,1.782325850871964e-4
CHN,GBR,34.722764999999995,18554.01467909,0.0018714421434155623
CHN,HKG,11555.65682568,18554.01467909,0.6228116677466571
CHN,IDN,6.819991969999999,18554.01467909,3.675750013114947e-4
CHN,IND,50.93554047999999,18554.01467909,0.0027452570972363905
CHN,JPN,158.82633635,18554.01467909,0.008560214007429566
CHN,KOR,23.612582509999996,18554.01467909,0.001272640068384278
CHN,MMR,13.227719999999998,18554.01467909,7.129303403487856e-4
CHN,MYS,340.64134775,18554.01467909,0.018359441535523626
CHN,PAK,125.44287799999998,18554.01467909,0.006760956060974317
CHN,PHL,70.54784,18554.01467909,0.003802295148526857
CHN,SAU,0.28770291,18554.01467909,1.5506234902586088e-5
CHN,SGP,84.19774472999998,18554.01467909,0.004537979848905108
CHN,THA,72.92552266999999,18554.01467909,0.003930444377204551
CHN,TWN,890.2861830499999,18554.01467909,0.047983479502866536
CHN,UGA,3.5825074999999997,18554.01467909,1.9308530051112945e-4
CHN,USA,4675.60108609,18554.01467909,0.2519994279922236
CHN,VNM,33.620455,18554.01467909,0.0018120312817198304
CHN,ZAF,18.518808,18554.01467909,9.981024764883e-4
CMR,COD,68.78193938,110.16486139999999,0.6243546127676606
COG,CMR,27.77710969,27.77710969,1
COL,ECU,11.0231,737.2943735299999,0.014950744771350786
COL,GTM,17.85631969,737.2943735299999,0.024218711455111137
COL,PER,175.95402912999998,737.2943735299999,0.23864827326373264
COL,SLV,440.94714851,737.2943735299999,0.5980611874180513
COL,USA,26.455439999999996,737.2943735299999,0.03588178745124188
CRI,COL,158.80318784000002,722.6093997099999,0.21976352356298084
CRI,ISR,11.574254999999999,722.6093997099999,0.01601730479100468
CRI,NIC,308.11217965,722.6093997099999,0.42638828082454033
CRI,PAN,0.31856758999999996,722.6093997099999,4.4085724615241454e-4
CRI,SLV,22.87072788,722.6093997099999,0.031650194267025256
CRI,USA,220.93048174999998,722.6093997099999,0.3057398393082965
DMA,CRI,17.29193697,17.29193697,1
DOM,HKG,105.82175999999998,165.20319969999997,0.6405551477947554
DOM,USA,59.381439699999994,165.20319969999997,0.3594448522052446
ECU,COL,31.523861379999996,88.18700462,0.35746606334841624
ECU,SLV,54.45852324,88.18700462,0.6175345616359591
EGY,HKG,43.87193799999999,941.6428059499999,0.046590849229436515
EGY,KOR,651.1896324999999,941.6428059499999,0.6915463362384328
EGY,SAU,93.31384843,941.6428059499999,0.09909686331204748
EGY,SDN,42.14131129999999,941.6428059499999,0.04475296899601402
EGY,USA,81.60952085,941.6428059499999,0.08666717393721941
FJI,AUS,31.863372859999995,31.863372859999995,1
GBR,ARE,22.91922952,32067.984744509995,7.147075097671594e-4
GBR,ARG,44.18278942,32067.984744509995,0.0013777850330168953
GBR,AUS,524.0569132699999,32067.984744509995,0.016342059454163792
GBR,BRN,0.3527392,32067.984744509995,1.099973081596244e-5
GBR,CAN,0,32067.984744509995,0
GBR,CHE,6.003180259999999,32067.984744509995,1.8720166882416073e-4
