from,to,quantity,exports,probability
ARE,BLR,0.87743876,1501.09709794,5.845316476889704e-4
ARE,ETH,55.1155,1501.09709794,0.03671681204076448
ARE,HKG,763.23723938,1501.09709794,0.5084529444680248
ARE,IND,494.59216697,1501.09709794,0.3294871248826898
ARE,SAU,16.18962697,1501.09709794,0.010785196368854156
ARE,TWN,43.84217563,1501.09709794,0.02920675530594651
ARE,UGA,18.166068799999998,1501.09709794,0.01210186124863597
ARG,BRA,631.44064654,1566.33180374,0.4031333878506975
ARG,CAN,117.67049018999998,1566.33180374,0.07512488088988102
ARG,CHL,25.8822388,1566.33180374,0.016524109858587963
ARG,CHN,88.94208696999999,1566.33180374,0.05678368194888786
ARG,HKG,217.70291806999995,1566.33180374,0.13898901723771492
ARG,MEX,32.53467965,1566.33180374,0.02077125649387665
ARG,PRY,9.568050799999998,1566.33180374,0.006108572128302534
ARG,URY,18.789976259999996,1566.33180374,0.011996165956111174
ARG,USA,269.15433963,1566.33180374,0.17183737123087728
AUS,ARE,2.4801974999999996,34538.478609579994,7.180969167854612e-5
AUS,CHE,1461.6630599999999,34538.478609579994,0.042319844962556516
AUS,CHN,394.51344206999994,34538.478609579994,0.011422432543411831
AUS,GBR,0.03417161,34538.478609579994,9.893779742377466e-7
AUS,HKG,28234.462518239998,34538.478609579994,0.8174784661883908
AUS,IDN,0.25794054,34538.478609579994,7.468207934568797e-6
AUS,IND,217.41521515999997,34538.478609579994,0.006294869487959877
AUS,MYS,207.11963975999996,34538.478609579994,0.0059967794789476
AUS,NZL,606.0026386699999,34538.478609579994,0.01754572474138777
AUS,PNG,16.53465,34538.478609579994,4.7873127785697417e-4
AUS,QAT,33.0693,34538.478609579994,9.574625557139483e-4
AUS,SGP,106.90863766,34538.478609579994,0.0030953487809491
AUS,TWN,14.536161969999998,34538.478609579994,4.2086862407332787e-4
AUS,USA,2369.3425925399997,34538.478609579994,0.06860008569928182
AUS,ZAF,479.23588635999994,34538.478609579994,0.013875419695732444
BEN,TGO,103.61713999999999,186.80627108,0.5546769891660962
BGD,IND,158.73263999999998,168.37785249999996,0.9427168576104747
