from,to,quantity,exports,probability
ABW,COL,12.1805255,474.83326022,0.025652216305059407
ABW,HKG,22.213751119999998,474.83326022,0.04678221384430381
ABW,TWN,259.2412658,474.83326022,0.5459627358030653
ARE,BGD,51.720385199999996,64495.01720914999,8.019283882393066e-4
ARE,BHR,0.36596692,64495.01720914999,5.674344094105921e-6
ARE,CHN,31190.265997769995,64495.01720914999,0.4836073753825589
ARE,ECU,0.8201186399999999,64495.01720914999,1.2716000018116883e-5
ARE,GBR,45.04810276999999,64495.01720914999,6.984741569091164e-4
ARE,HKG,12728.079253229998,64495.01720914999,0.19734980784568656
ARE,IDN,1412.7712022599999,64495.01720914999,0.021905121719380954
ARE,IND,5720.05524343,64495.01720914999,0.08868987855109042
ARE,IRN,1.0471944999999998,64495.01720914999,1.6236827980122363e-5
ARE,LKA,1.9841579999999999,64495.01720914999,3.076451617286342e-5
ARE,MYS,1533.64720993,64495.01720914999,0.02377931313602967
ARE,NGA,31.989036199999997,64495.01720914999,4.959923662980536e-4
ARE,OMN,184.1188393,64495.01720914999,0.0028547761868629876
ARE,PAK,9778.239270799999,64495.01720914999,0.1516123212912756
ARE,SAU,213.84813999999997,64495.01720914999,0.0033157311875197247
ARE,SDN,0.00440924,64495.01720914999,6.836559149525207e-8
ARE,SGP,0.110231,64495.01720914999,1.7091397873813015e-6
ARE,THA,220.99662035,64495.01720914999,0.0034265689027314023
ARE,TUR,70.34942419999999,64495.01720914999,0.0010907730123067465
ARE,TWN,338.72883989999997,64495.01720914999,0.005252015652644001
ARE,TZA,3.1603227699999996,64495.01720914999,4.900103770422191e-5
ARE,UGA,156.9468978,64495.01720914999,0.002433473229273497
ARE,USA,73.07212990000001,64495.01720914999,0.0011329887650550648
ARE,VNM,150.09383653,64495.01720914999,0.0023272160086920016
ARG,BRA,734.8803146299999,40950.06913382,0.017945764932129852
ARG,CHL,2890.65144698,40950.06913382,0.07058965975206762
ARG,CHN,27900.702891819998,40950.06913382,0.6813346956910815
ARG,CRI,82.29185073999999,40950.06913382,0.0020095656119915187
ARG,ECU,7.762467019999999,40950.06913382,1.8955931416460306e-4
ARG,HKG,1637.3293862199998,40950.06913382,0.03998355609289451
ARG,MEX,89.57481290999999,40950.06913382,0.002187415425778161
ARG,PER,51.24749420999999,40950.06913382,0.001251462947291474
ARG,PRY,29.205703449999998,40950.06913382,7.132027873886904e-4
ARG,THA,267.82385145999996,40950.06913382,0.006540253951337254
ARG,URY,215.75513629999998,40950.06913382,0.005268736802249042
ARG,USA,5198.8687454,40950.06913382,0.12695628738527182
ARM,CHN,19.069962999999998,209.24158650999996,0.09113849363347576
ARM,YEM,190.17052119999997,209.24158650999996,0.908856238245505
AUS,BRA,0.0771617,170184.46032599,4.5340038598233946e-7
AUS,CAN,32.935920489999994,170184.46032599,1.93530716182376e-4
AUS,CHN,33990.83556924,170184.46032599,0.1997293730821852
AUS,DOM,0.01763696,170184.46032599,1.0363437393882046e-7
AUS,FJI,0.0881848,170184.46032599,5.181718696941022e-7
AUS,GBR,188.02542594,170184.46032599,0.0011048331062650223
AUS,HKG,121833.87978608,170184.46032599,0.7158930936038814
AUS,IDN,5046.722407649999,170184.46032599,0.029654425544981915
AUS,IND,409.27998683,170184.46032599,0.002404919850179154
AUS,IRN,1.10231,170184.46032599,6.477148371176277e-6
AUS,JPN,981.45383391,170184.46032599,0.0057670003009088824
AUS,KOR,153.39966422,170184.46032599,9.013729216296333e-4
AUS,MKD,20.9108207,170184.46032599,1.2287150460121399e-4
AUS,MYS,1002.73392846,170184.46032599,0.00589204165021444
AUS,NZL,290.55127904,170184.46032599,0.001707272676268128
AUS,PAK,9.84142368,170184.46032599,5.7827980657861814e-5
AUS,PNG,9.643007879999999,170184.46032599,5.666209395105008e-5
AUS,SGP,226.58974128999998,170184.46032599,0.0013314361420306245
AUS,THA,2280.21421518,170184.46032599,0.013398486623351082
AUS,TON,89.84818578999999,170184.46032599,5.279458865862072e-4
AUS,TTO,0.07385477,170184.46032599,4.339689408688106e-7
AUS,TWN,348.64191373,170184.46032599,0.0020486119182807467
AUS,USA,24.358846379999996,170184.46032599,1.4313202470625337e-4
AUS,VNM,3011.08542834,170184.46032599,0.017693069170782318
AUS,ZAF,28.902568199999997,170184.46032599,1.69830830292242e-4
AZE,CHN,88.1848,328.30649884999997,0.2686051001393389
AZE,RUS,86.05954632,328.30649884999997,0.26213171722598083
AZE,TUR,154.06215253,328.30649884999997,0.4692631826346803
BEN,CIV,23.9531963,273.65617366999993,0.08753026097954944
BEN,TGO,249.70297736999996,273.65617366999993,0.9124697390204507
BFA,CIV,58.42242999999999,71.65015,0.8153846153846153
