t,k,v,q,exporter,importer
2018,391530,86.796,706.75,AUT,BEL
2018,391590,331.744242637147,702.572,AUT,BEL
2018,391510,22.478033436183,61.22,AUT,BIH
2018,391520,2.72051917142924,2.82,AUT,BIH
2018,391530,23.8790770145119,39.19,AUT,BIH
2018,391590,1.75076602255834,4.58414802999549,AUT,BIH
2018,391510,1114.99335270956,5834.93237989073,AUT,BGR
2018,391530,12.5352240165264,23.23,AUT,BGR
2018,391590,160.215815622685,758.11,AUT,BGR
2018,391590,261.866663484692,616.877016720791,AUT,CHN
2018,391510,372.126391094548,390.725054333865,AUT,HRV
2018,391530,7.823,76.332,AUT,HRV
2018,391590,37.2008590522581,365.763264163323,AUT,HRV
2018,391510,3746.82245148888,4662.38377503307,AUT,CZE
2018,391520,5.45306627482982,22.56,AUT,CZE
2018,391530,114.395320345138,1450.41334709026,AUT,CZE
2018,391590,1343.73815417578,8077.44017975208,AUT,CZE
2018,391510,7.97355563572776,21.276,AUT,DNK
2018,391520,1126.56954012429,1543.373,AUT,DNK
2018,391590,391.638,411.335,AUT,DNK
2018,391590,10.828257491954,0.52,AUT,FIN
2018,391510,1259.91191211615,2655.773,AUT,FRA
2018,391530,99.012604291498,209.981,AUT,FRA
2018,391590,384.494539435311,489.617102797734,AUT,FRA
2018,391510,24721.6323244155,27923.6590498363,AUT,DEU
2018,391520,3427.45938817972,4448.03435914642,AUT,DEU
2018,391530,3581.70100343441,7014.12546627002,AUT,DEU
2018,391590,7000.57770729687,14178.1889412782,AUT,DEU
2018,391510,8.51440660866342,6.34970632349044,AUT,GRC
2018,391590,460.957559986175,720.19,AUT,GRC
2018,391510,4.75972909594913,24.1347196579664,AUT,HKG
2018,391520,59.935,142.03,AUT,HKG
2018,391590,513.271,946.945,AUT,HKG
2018,391510,1087.87980448608,1941.29434675404,AUT,HUN
2018,391520,28.4741865132026,49.171,AUT,HUN
2018,391530,277.566886892353,1324.17490625063,AUT,HUN
2018,391590,212.677574408164,1452.03939957253,AUT,HUN
2018,391590,2.603,0.489,AUT,ISR
2018,391510,2750.09944728932,2870.12524689526,AUT,ITA
2018,391520,299.244032771732,595.521553750681,AUT,ITA
2018,391530,92.9147071550817,184.261157390639,AUT,ITA
2018,391590,4853.81597353953,12533.3412391966,AUT,ITA
2018,391590,61.075,268.05,AUT,KOR
2018,391510,15.159,208.645,AUT,LVA
2018,391520,8.763,17.048,AUT,LVA
2018,391590,37.305,174.733,AUT,LVA
2018,391530,110.374882210836,91.97,AUT,LTU
2018,391510,62.5184166303201,333.291128848815,AUT,MYS
2018,391520,35.201,129.17,AUT,MYS
2018,391590,61.8313458778559,174.305973212298,AUT,MYS
2018,391510,29.35,85.714,AUT,TWN
2018,391520,8.99076501199714,22.8655705357357,AUT,TWN
2018,391590,39.5013174846234,82.445,AUT,TWN
2018,391510,122.304142307923,245.201072545102,AUT,NLD
2018,391520,15.0137442651121,20.1584832983115,AUT,NLD
2018,391530,6.58195677949347,20.8780677394472,AUT,NLD
2018,391590,7313.52508020095,9427.26408971367,AUT,NLD
2018,391590,1.898,1.26,AUT,PAK
2018,391510,2013.67272313878,6027.28221882416,AUT,POL
2018,391520,17.9170720159894,30.732563735203,AUT,POL
2018,391530,321.890542709159,635.12100848373,AUT,POL
2018,391590,230.919647818383,824.798895442776,AUT,POL
2018,391510,226.017,205.906,AUT,PRT
2018,391590,120.30901638161,73.8200105189774,AUT,PRT
2018,391510,87.914604854915,66.781221619489,AUT,ROU
2018,391520,15.6430736912454,9.229,AUT,ROU
2018,391530,40.9614219886034,1212.52668118343,AUT,ROU
2018,391590,149.352946656546,277.842399708698,AUT,ROU
2018,391510,106.877576137232,290.028470957306,AUT,SRB
2018,391590,39.0001435418929,332.746040539663,AUT,SRB
2018,391510,52.978,411.21,AUT,IND
2018,391590,263.65,684.514,AUT,IND
2018,391510,629.9376673874,6112.56262911302,AUT,SVK
2018,391520,8.412,31.091,AUT,SVK
2018,391530,1.00700601512189,0.1,AUT,SVK
2018,391590,72.7169175928236,174.098,AUT,SVK
2018,391590,102.68,329.156,AUT,VNM
2018,391510,1132.90735520718,6279.37487013146,AUT,SVN
2018,391520,4.51484382054612,45.0192258871135,AUT,SVN
2018,391530,151.028994370096,1537.27228031753,AUT,SVN
2018,391590,1232.76137662025,20140.258920174,AUT,SVN
2018,391510,67.5306892571747,107.425975326389,AUT,ESP
2018,391530,7.13461976325146,18.146,AUT,ESP
2018,391590,84.445,137.427,AUT,ESP
2018,391510,1.109,16.093,AUT,SWE
2018,391590,184.067724388964,296.787741396134,AUT,SWE
2018,391510,726.321803446537,3231.25773002778,AUT,CHE
2018,391520,1.55304213804058,5.2,AUT,CHE
2018,391530,197.080032198137,215.808432774781,AUT,CHE
2018,391590,251.908810494294,2694.21794148899,AUT,CHE
2018,391510,1.30620905787962,16.04,AUT,THA
2018,391590,12.1370976212748,23.8204751135982,AUT,THA
2018,391510,21.002,46.6,AUT,ARE
2018,391520,134.936,225.774,AUT,TUR
2018,391590,93.6821249208957,173.214493496569,AUT,TUR
2018,391590,35.2093152090251,115.44427048678,AUT,UKR
2018,391590,9.19431379265359,35.1,AUT,MKD
2018,391510,698.913817430296,511.497277474025,AUT,GBR
2018,391520,74.583,62.478,AUT,USA
2018,391590,714.23187975501,1400.39476558997,AUT,USA
2018,391510,18.1595460872693,18.859,BHS,USA
2018,391590,80.159,150,BHR,CHN
2018,391590,60.5054237126584,120.642,BHR,HKG
2018,391590,44.768,92,BHR,MYS
2018,391590,6.74054165670449,18.69,BHR,TWN
2018,391530,91.6306562426687,506.447,BHR,PAK
2018,391590,98.4054731336003,142.251005784594,BHR,PAK
2018,391590,99.1956947347197,337.245186493061,BHR,IND
2018,391590,26.595,100,BHR,VNM
2018,391590,2.27024599743348,26,BHR,THA
2018,391590,2.03867462721239,7,BGD,CAN
2018,391590,21.9769097163831,41,BGD,CHN
