iso3c,region_id,country_name,income_level,gdp,total_msw,recycled,waste_generation,mismanagement_rate,region,sub_region,C1_rate,population,gdp_per_capita,fraction_recycling_chemical,C2_rate,I_mismanagement_min,I_mismanagement_max
DZA,MEA,Algeria,UMC,196034821993.495,12378740,0.08,2092007.06,0.02,Africa,Northern Africa,NA,40606052,4827.72425138733,0,NA,0,0
ECU,LCN,Ecuador,UMC,85056519293.3115,5297211.142533937,0.129,607148.37,0.3588,Americas,Latin America and the Caribbean,NA,16144368,5268.494827007877,0,NA,0.25,0.75
EGY,MEA,"Egypt, Arab Rep.",LMC,260816315725.83,21000000,0.125,3037674.77,0.895,Africa,Northern Africa,NA,87813257,2970.124610294662,0,NA,0.25,0.75
ETH,SSF,Ethiopia,LIC,52347226230.2332,6532786.97,NA,154742.64,1,Africa,Sub-Saharan Africa,NA,99873033,524.1377442721019,0,NA,0.25,0.75
FJI,EAS,Fiji,UMC,3771168285.97478,189389.594,0.0545,15470.78,0.5755,Oceania,Melanesia,NA,867086,4349.243657462789,0,NA,0.25,0.75
FRO,ECS,Faeroe Islands,HIC,NA,61000,0.67,8070.55,0.35,Europe,Northern Europe,NA,48842,NA,0,NA,0.25,0.75
GBR,ECS,United Kingdom,HIC,2757620259273.38,31567000,0.2725,6471649.94,0.04572,Europe,Northern Europe,0.32,65128861,42340.987036045044,0,0.32,0,0
GIN,SSF,Guinea,LIC,9667718426.6828,596911,0.05,37646.76,0.97,Africa,Sub-Saharan Africa,NA,8132552,1188.7681046100658,0,NA,0.25,0.75
GRD,LCN,Grenada,UMC,931118693.454099,29536.113936927773,NA,5306.88,0.035,Americas,Latin America and the Caribbean,NA,105481,8827.359367602687,0,NA,0,0
GRL,ECS,Greenland,HIC,2823634003.66281,50000,NA,1286.42,0.02,Americas,Northern America,NA,56905,49620.138892238116,0,NA,0,0
GTM,LCN,Guatemala,UMC,51421926687.8027,2756740.97135,NA,488395.84,0.77,Americas,Latin America and the Caribbean,NA,16252429,3163.953319703947,0,NA,0.25,0.75
GUM,EAS,Guam,HIC,5214914976.43925,141500,0.17850000000000002,16684.32,0.2015,Oceania,Micronesia,NA,159973,32598.719636684003,0,NA,0.25,0.75
GUY,LCN,Guyana,UMC,2925825405.86112,179251.5,0.0054,28749.75,0.554325,Americas,Latin America and the Caribbean,NA,746556,3919.097034731648,0,NA,0.25,0.75
HKG,EAS,"Hong Kong SAR, China",HIC,270105365069.123,5679816.465,0.34,1199186.94,0.02,Asia,Eastern Asia,0.25,7305700,36971.8664972724,0,0.25,0,0
HND,LCN,Honduras,LMC,19545909275.2757,2162027.69575,NA,311548.23,0.308,Americas,Latin America and the Caribbean,NA,9112867,2144.869367156977,0,NA,0.25,0.75
HTI,LCN,Haiti,LIC,7911616492.26845,2309852.45485,NA,293351.2,0.9206,Americas,Latin America and the Caribbean,NA,10847334,729.3604578109653,0,NA,0.25,0.75
IDN,EAS,Indonesia,LMC,1037863871681.45,65200000,0.07,9128000,0.605,Asia,South-eastern Asia,0.1,261115456,3974.731666904658,0,0.1,0.25,0.75
IND,SAS,India,LMC,2466177043270.51,168403239.95,0.05,26327932.64,0.79,Asia,Southern Asia,0.6,1071477855,2301.6593686581696,0,0.6,0.25,0.75
IRN,MEA,"Iran, Islamic Rep.",UMC,540581175875.242,17885000,0.05,1500584.56,0.743,Asia,Southern Asia,NA,80277428,6733.912499977479,0,NA,0.25,0.75
IRQ,MEA,Iraq,UMC,213937533186.719,13140000,NA,738899.32,1,Asia,Western Asia,NA,36115649,5923.679599021438,0,NA,0.25,0.75
ISL,ECS,Iceland,HIC,16434890343.1097,525000,0.5581,48571.74,0.1114,Europe,Northern Europe,NA,330815,49680.00345543491,0,NA,0,0
ISR,MEA,Israel,HIC,287807589783.365,5400000,0.25,958004.64,0.02,Asia,Western Asia,NA,8380100,34344.171284753764,0,NA,0,0
JAM,LCN,Jamaica,UMC,13801803129.785,1051694.575,NA,128306.79,0.38,Americas,Latin America and the Caribbean,NA,2881355,4790.039106526269,0,NA,0.25,0.75
JOR,MEA,Jordan,UMC,30811666897.1124,2529997,0.07,446940.8,0.59,Asia,Western Asia,NA,8413464,3662.185622605909,0,NA,0.25,0.75
JPN,EAS,Japan,HIC,6052671805314.15,43981000,0.049,4881160.79,0.153,Asia,Eastern Asia,0.2,127141000,47605.979230257355,0,0.2,0,0
KAZ,ECS,Kazakhstan,UMC,188309161360.735,4659740,0.0292,1281504.75,0.9908,Asia,Central Asia,NA,16791425,11214.602772589878,0,NA,0.25,0.75
KEN,SSF,Kenya,LMC,55409230681.8492,5595099,0.08,1279842.77,0.94,Africa,Sub-Saharan Africa,NA,41350152,1340.0006530048354,0,NA,0.25,0.75
KGZ,ECS,Kyrgyz Republic,LMC,6346700787.57926,1113300,NA,126058.84,1,Asia,Central Asia,NA,5956900,1065.43685265478,0,NA,0.25,0.75
KHM,EAS,Cambodia,LMC,17009386901.7797,1089000,NA,99747.87,1,Asia,South-eastern Asia,NA,15270790,1113.8511433776314,0,NA,0.25,0.75
KNA,LCN,St. Kitts and Nevis,HIC,858344680.019234,32892.14,NA,7744.16,0.02,Americas,Latin America and the Caribbean,NA,54288,15810.9468025942,0,NA,0,0
KOR,EAS,"Korea, Rep.",HIC,1305947523530.33,18218975,0.58,4514186.21,0.02,Asia,Eastern Asia,0.23,50746659,25734.65030535961,0,0.23,0,0
KWT,MEA,Kuwait,HIC,142857292393.58,1750000,NA,458077.8,1,Asia,Western Asia,NA,2998083,47649.54552411657,0,NA,0.25,0.75
