country,income_id,population,plastic_waste,msw,percent_composition_plastic_msw,plastic_waste_per_capita,mismanaged_waste,,,,,,,,,,,,,,,
Georgia,LMC,3727505.00,25637.31,854577.00,3.00, 6.88 ,NR,,,,,,,,,,,,,,,
Botswana,UMC,2159944.00,24741.28,252462.00,9.80, 11.45 ,100,,,,,,,,,,,,,,,
"Gambia, The",LIC,2149139.00,22631.33,301751.00,7.50, 10.53 ,NR,,,,,,,,,,,,,,,
Guinea-Bissau,LIC,1782437.00,22323.00,297640.00,7.50, 12.52 ,NR,,,,,,,,,,,,,,,
Lao PDR,LMC,6845846.00,22232.24,364463.00,6.10, 3.25 ,62,,,,,,,,,,,,,,,
Virgin Islands (U.S.),HIC,107510.00,22193.60,170720.00,13.00, 206.43 ,NR,,,,,,,,,,,,,,,
Channel Islands,HIC,166923.00,21919.29,178933.00,12.25, 131.31 ,2,,,,,,,,,,,,,,,
Eswatini,LMC,1113984.00,21383.50,218199.00,9.80, 19.20 ,NR,,,,,,,,,,,,,,,
Bhutan,LMC,736709.00,19844.11,152647.00,13.00, 26.94 ,2,,,,,,,,,,,,,,,
Belize,UMC,368400.00,19463.60,102440.00,19.00, 52.83 ,68,,,,,,,,,,,,,,,
Equatorial Guinea,UMC,1215179.00,19447.41,198443.00,9.80, 16.00 ,NR,,,,,,,,,,,,,,,
Djibouti,LMC,929112.00,17521.29,152359.00,11.50, 18.86 ,NR,,,,,,,,,,,,,,,
New Caledonia,HIC,276550.00,17504.19,106086.00,16.50, 63.29 ,NR,,,,,,,,,,,,,,,
St. Lucia,UMC,180024.00,17239.42,78361.00,22.00, 95.76 ,5.1,,,,,,,,,,,,,,,
Guam,HIC,162951.00,16684.32,134551.00,12.40, 102.39 ,20.15,,,,,,,,,,,,,,,
Fiji,UMC,872399.00,15470.78,206277.00,7.50, 17.73 ,57.55,,,,,,,,,,,,,,,
Aruba,HIC,104872.00,13898.63,111189.00,12.50, 132.53 ,91,,,,,,,,,,,,,,,
Cabo Verde,LMC,531146.00,13706.67,139864.00,9.80, 25.81 ,NR,,,,,,,,,,,,,,,
Bermuda,HIC,64555.00,13293.93,102261.00,13.00, 205.93 ,2,,,,,,,,,,,,,,,
Turkmenistan,UMC,5662372.00,12399.82,566202.00,2.19, 2.19 ,27,,,,,,,,,,,,,,,
Timor-Leste,LMC,1219288.00,10539.38,63875.00,16.50, 8.64 ,NR,,,,,,,,,,,,,,,
Suriname,UMC,564888.00,9086.99,82609.00,11.00, 16.09 ,100,,,,,,,,,,,,,,,
Lesotho,LMC,2075001.00,8622.14,87981.00,9.80, 4.16 ,NR,,,,,,,,,,,,,,,
Cayman Islands,HIC,62569.00,8375.51,76141.00,11.00, 133.86 ,81,,,,,,,,,,,,,,,
Faeroe Islands,HIC,48173.00,8070.55,65882.00,12.25, 167.53 ,35,,,,,,,,,,,,,,,
St. Kitts and Nevis,HIC,51625.00,7744.16,33380.00,23.20, 150.01 ,2,,,,,,,,,,,,,,,
Isle of Man,HIC,83287.00,6918.31,56476.00,12.25, 83.07 ,2,,,,,,,,,,,,,,,
Maldives,UMC,475513.00,6739.89,224663.00,3.00, 14.17 ,89,,,,,,,,,,,,,,,
Kiribati,LMC,112524.00,5894.46,35724.00,16.50, 52.38 ,NR,,,,,,,,,,,,,,,
Seychelles,HIC,94677.00,5338.18,53921.00,9.90, 56.38 ,NR,,,,,,,,,,,,,,,
Grenada,UMC,110261.00,5306.88,32359.00,16.40, 48.13 ,3.5,,,,,,,,,,,,,,,
Northern Mariana Islands,HIC,56188.00,5102.13,30922.00,16.50, 90.80 ,66,,,,,,,,,,,,,,,
