country,income_id,population,plastic_waste,msw,percent_composition_plastic_msw,plastic_waste_per_capita,mismanaged_waste,iso3_digit_alpha
Sweden,HIC,9923085,291292.19,4426933,6.58,29.36,0.02,SWE
Madagascar,LIC,24894380,282656.93,3768759,7.5,11.35,0.987,MDG
New Zealand,HIC,4693200,270550.16,3381877,8,57.65,0.02,NZL
Cuba,UMC,11335109,270533.09,2818053,9.6,23.87,0.6183,CUB
Syrian Arab Republic,LIC,17453933,269480.26,3849718,7,15.44,0.97,SYR
Nepal,LIC,27261131,267823.12,1768977,15.14,9.82,0.8988,NPL
Lebanon,UMC,6711121,247112.35,2148803,11.5,36.82,0.31,LBN
Burkina Faso,LIC,18646378,239327.19,2659191,9,12.84,0.8575,BFA
Bolivia,LMC,11031813,232092.39,2276967,10.19,21.04,0.5752,BOL
West Bank and Gaza,LMC,4367088,231306.64,1628920,14.2,52.97,0.69,PSE
Azerbaijan,UMC,9757812,228304.29,2900944,7.87,23.4,1,AZE
Senegal,LIC,14993528,220865.31,2454059,9,14.73,0.969,SEN
Paraguay,UMC,6777872,214189.11,1862514,11.5,31.6,0.254,PRY
South Sudan,LIC,10832512,214119.45,2854926,7.5,19.77,NA,SSD
Ghana,LMC,28481946,211518.32,5287958,4,7.43,NA,GHA
Nicaragua,LMC,6303974,205547.55,1787370,11.5,32.61,0.922,NIC
Slovak Republic,HIC,5430798,199500.4,1813640,11,36.74,0.0766,SVK
Mozambique,LIC,27829942,198365.48,2644873,7.5,7.13,1,MOZ
Panama,HIC,4037078,181993.44,1516612,12,45.08,0.443,PAN
Libya,UMC,6492164,181481.93,2419759,7.5,27.95,NA,LBY
Sri Lanka,LMC,21203000,180701.08,2581444,7,8.52,0.87,LKA
El Salvador,LMC,6356143,178687.1,1786871,10,28.11,0.238,SLV
Tajikistan,LIC,8663579,176178.51,1968475,8.95,20.34,1,TJK
Somalia,LIC,14185613,174457.43,2326099,7.5,12.3,NA,SOM
Costa Rica,UMC,4899345,167858.02,1525982,11,34.26,0.111,CRI
