from,to,quantity,exports,probability
ABW,YEM,22.456259319999997,197.54717971999997,0.11367542352074637
ARE,ARM,18.739269999999998,41712.48845917999,4.492484311584125e-4
ARE,BGD,44.29963428,41712.48845917999,0.0010620232912584872
ARE,BHR,23.0823714,41712.48845917999,5.533683616739505e-4
ARE,CHN,19806.07239028,41712.48845917999,0.47482356296393824
ARE,EGY,14.11728417,41712.48845917999,3.3844262693210524e-4
ARE,ETH,16.53465,41712.48845917999,3.9639567455154045e-4
ARE,HKG,10371.612743799998,41712.48845917999,0.2486452649294635
ARE,IND,7537.5031859599985,41712.48845917999,0.18070135502311804
ARE,JPN,13.227719999999998,41712.48845917999,3.171165396412323e-4
ARE,KEN,4.268144319999999,41712.48845917999,1.0232293679090429e-4
ARE,KGZ,49.60395,41712.48845917999,0.0011891870236546214
ARE,KOR,23.7547805,41712.48845917999,5.694884524390465e-4
ARE,LKA,18.739269999999998,41712.48845917999,4.492484311584125e-4
ARE,MYS,98.33156354999998,41712.48845917999,0.002357365076558011
ARE,NGA,89.4414334,41712.48845917999,0.0021442363355407995
ARE,OMN,32.3858678,41712.48845917999,7.764069945549505e-4
ARE,PAK,3297.50304488,41712.48845917999,0.07905313652305711
ARE,SAU,60.62705,41712.48845917999,0.0014534508066889817
ARE,SDN,0.07936631999999999,41712.48845917999,1.902699237847394e-6
ARE,SEN,0.33069299999999996,41712.48845917999,7.927913491030808e-6
ARE,TWN,54.14546719999999,41712.48845917999,0.0012980637022647777
ARE,TZA,7.25650673,41712.48845917999,1.739648483715194e-4
ARE,UGA,0.551155,41712.48845917999,1.3213189151718015e-5
ARE,VNM,52.67829259,41712.48845917999,0.0012628901927429043
ARG,BRA,387.88745666,44448.6114765,0.008726649579707934
ARG,CHL,3208.7924430099997,44448.6114765,0.07219106146221214
ARG,CHN,31726.32045308,44448.6114765,0.7137752878929349
ARG,CRI,184.70637052999996,44448.6114765,0.004155503724287412
ARG,HKG,1430.8314492999998,44448.6114765,0.032190689467464714
ARG,IND,52.33988341999999,44448.6114765,0.0011775369731779385
ARG,MEX,26.535908629999998,44448.6114765,5.970019703321789e-4
ARG,MYS,53.439988799999995,44448.6114765,0.001202287023707225
ARG,PRY,953.5720047699999,44448.6114765,0.021453358678575455
ARG,URY,47.239495049999995,44448.6114765,0.0010627889934194128
ARG,USA,5310.35086725,44448.6114765,0.11947169305969399
ARG,VNM,371.36934131,44448.6114765,0.008355026827021201
AUS,BGD,531.0709118,255006.65595482,0.0020825766677011396
AUS,BRA,0.16534649999999998,255006.65595482,6.484007226434698e-7
AUS,BTN,0.0881848,255006.65595482,3.4581371874318394e-7
AUS,CAN,23.699665,255006.65595482,9.293743691223069e-5
AUS,CHE,142.22885467999998,255006.65595482,5.577456562749442e-4
AUS,CHN,53767.905081109995,255006.65595482,0.2108490261941875
AUS,FJI,0.32848837999999997,255006.65595482,1.28815610231836e-6
AUS,HKG,190825.13350505,255006.65595482,0.7483143245439792
AUS,IDN,1821.9927666599997,255006.65595482,0.007144883178981829
AUS,IND,742.56451764,255006.65595482,0.0029119417093629177
AUS,JPN,283.69711545999996,255006.65595482,0.0011125086692257283
AUS,KEN,5.422262889999999,255006.65595482,2.126322103122152e-5
AUS,KOR,12.075806049999999,255006.65595482,4.735486611039475e-5
AUS,MAC,23.15512386,255006.65595482,9.080203719899153e-5
AUS,MKD,14.330029999999999,255006.65595482,5.619472929576739e-5
AUS,MYS,1406.4692959899996,255006.65595482,0.005515421904278398
AUS,NZL,113.65257023999999,255006.65595482,4.4568472071621545e-4
AUS,PAK,14.617732909999999,255006.65595482,5.732294655316703e-5
AUS,PHL,74.17884914,255006.65595482,2.9088985486379776e-4
AUS,SEN,46.032465599999995,255006.65595482,1.8051476118394202e-4
AUS,SGP,396.98923033,255006.65595482,0.0015567798763665814
AUS,THA,652.65460249,255006.65595482,0.0025593630097468204
AUS,TON,0.40013852999999994,255006.65595482,1.569129748797197e-6
AUS,TWN,486.13965389,255006.65595482,0.001906380255330003
AUS,TZA,0.11243561999999999,255006.65595482,4.409124913975595e-7
AUS,USA,54.01098538,255006.65595482,2.1180225738723162e-4
AUS,VNM,3223.3903343399998,255006.65595482,0.012640416471761012
AUS,VUT,0.00440924,255006.65595482,1.72906859371592e-8
AUS,WSM,0.10361714,255006.65595482,4.0633111952324115e-7
AUS,ZAF,8.025919109999998,255006.65595482,3.1473371077114025e-5
AZE,TUR,72.87481641,72.87481641,1
BEN,CIV,103.83760199999999,419.0762158,0.24777736861486663
BEN,TGO,315.2386138,419.0762158,0.7522226313851333
BFA,CIV,17.770339509999996,17.770339509999996,1
BGD,CHN,21506.70413287,23651.09391447,0.9093323213989676
BGD,HKG,683.4288930700001,23651.09391447,0.028896291035903028
BGD,IND,336.1604576,23651.09391447,0.014213315410089057
BGD,KOR,100.31021,23651.09391447,0.0042412503355131964
BGD,KWT,22.0462,23651.09391447,9.321429308820212e-4
BGD,LKA,7.568460459999999,23651.09391447,3.200046681717978e-4
BGD,MYS,55.77578368999999,23651.09391447,0.002358275007984969
BGD,SAU,65.58744499999999,23651.09391447,0.0027731252193740124
BGD,SGP,66.1386,23651.09391447,0.0027964287926460635
BGD,THA,3.4943226999999997,23651.09391447,1.4774465454480033e-4
BGD,TWN,232.96770694999998,23651.09391447,0.009850187386363037
BGD,USA,21.770622499999998,23651.09391447,9.204911442459959e-4
BGD,VNM,406.5418487899999,23651.09391447,0.017189135109783364
BHR,ARE,29.431676999999997,1367.3428025399999,0.02152472441097229
BHR,CHN,611.76661766,1367.3428025399999,0.44741276037257927
BHR,HKG,70.72200498,1367.3428025399999,0.05172221980371386
BHR,PAK,655.4225028999999,1367.3428025399999,0.4793402954127346
BIH,MKD,270.60277497,3099.0255155199998,0.08731866634037516
BIH,MNE,1.1982109699999999,3099.0255155199998,3.866412083409215e-4
BIH,SRB,40.2563612,3099.0255155199998,0.012990006374066656
BLR,CHN,116.49322310999999,1728.62490504,0.06739068884773725
BLR,HKG,62.744587509999995,1728.62490504,0.03629739877463359
BLR,IND,42.990089999999995,1728.62490504,0.024869530616305226
BLR,RUS,788.1406268999999,1728.62490504,0.4559350178295404
BLR,TUR,2.20462,1728.62490504,0.0012753605444259092
BLR,UKR,149.73558577999998,1728.62490504,0.08662121281686332
BLZ,GTM,0.00110231,1452.1005207499998,7.591141138291615e-7
BLZ,HND,19.99921033,1452.1005207499998,0.013772607367202478
BLZ,NGA,1432.1002081099998,1452.1005207499998,0.9862266335186838
BOL,CHL,687.4181529599999,3732.5186632799996,0.18417005110322
BOL,CHN,52.635302499999995,3732.5186632799996,0.014101818972218088
BOL,MEX,437.07804040999997,3732.5186632799996,0.11710002811504014
BOL,PAN,264.5544,3732.5186632799996,0.0708782524258082
BOL,PER,121.64101080999998,3732.5186632799996,0.03258952513933483
BOL,PRY,261.78870421,3732.5186632799996,0.07013727936190672
BOL,USA,1768.5119923899997,3732.5186632799996,0.4738119623589227
BOL,VGB,138.89105999999998,3732.5186632799996,0.0372110825235493
BRA,ARG,0.0033069299999999996,4952.49253961,6.677304354425973e-7
BRA,BOL,0.45525403,4952.49253961,9.192422327926423e-5
BRA,CAN,22.0462,4952.49253961,0.004451536236283982
BRA,CHE,66.49354382,4952.49253961,0.013426278442256119
BRA,CHL,0.00110231,4952.49253961,2.2257681181419912e-7
BRA,CHN,972.7632218699999,4952.49253961,0.196418917159359
BRA,CIV,0.0440924,4952.49253961,8.903072472567965e-6
BRA,CRI,0.006613859999999999,4952.49253961,1.3354608708851946e-6
BRA,ECU,64.80700952,4952.49253961,0.013085735920180393
BRA,GBR,1.3227719999999998,4952.49253961,2.670921741770389e-4
BRA,HKG,2503.2875875699997,4952.49253961,0.50546014305902
BRA,IND,83.50769867,4952.49253961,0.01686175153260828
BRA,JPN,27.095882109999998,4952.49253961,0.005471160611204828
BRA,KOR,1.0471944999999998,4952.49253961,2.1144797122348913e-4
BRA,MEX,330.76575245999993,4952.49253961,0.06678773361383945
BRA,NGA,9.37294193,4952.49253961,0.001892570630856135
BRA,NZL,20.980266229999998,4952.49253961,0.004236304459259652
BRA,PAK,2.6455439999999997,4952.49253961,5.341843483540778e-4
BRA,PRY,197.51741735,4952.49253961,0.03988242602492727
BRA,URY,4.3320783,4952.49253961,8.747268704298026e-4
BRA,USA,78.68509242,4952.49253961,0.01588797798092116
BRB,CHN,921.4451798199999,2716.0466452899996,0.3392597035908471
BRB,HKG,138.05991826,2716.0466452899996,0.05083120295426994
BRB,NGA,1655.6585968999998,2716.0466452899996,0.6095840068767379
BRB,PAK,0.881848,2716.0466452899996,3.2468072723612694e-4
BRB,USA,0.00110231,2716.0466452899996,4.058509090451587e-7
BRN,CHN,371.83231150999995,495.41889946999993,0.7505412326977975
BRN,HKG,9.33987263,495.41889946999993,0.01885247543037178
BRN,MYS,52.33216725,495.41889946999993,0.1056321575660215
BRN,SGP,38.03630886,495.41889946999993,0.07677605537594814
BRN,THA,10.66154232,495.41889946999993,0.021520257566688995
BRN,TWN,11.0231,495.41889946999993,0.022250059518909217
BRN,VNM,2.1935968999999997,495.41889946999993,0.0044277618442629335
BTN,IND,634.57892311,634.57892311,1
BWA,CHN,262.790704,886.5140782299999,0.29643150678969904
BWA,ZAF,619.8046621799999,886.5140782299999,0.6991481324442046
BWA,ZWE,3.91871205,886.5140782299999,0.004420360766096393
CAN,ARE,29.762369999999997,210341.28513760996,1.414956173750141e-4
CAN,ARM,58.150159429999995,210341.28513760996,2.764562334586711e-4
CAN,AUS,9.074215919999999,210341.28513760996,4.314044156411541e-5
CAN,BGD,181.61218635999998,210341.28513760996,8.634167383791785e-4
CAN,BLZ,1.59724719,210341.28513760996,7.59359813245909e-6
CAN,BMU,3.29921383,210341.28513760996,1.568505121494138e-5
CAN,BRA,188.48067996999998,210341.28513760996,8.960707825222791e-4
CAN,BRB,0.37037616,210341.28513760996,1.7608343495557312e-6
CAN,CHE,1.34261358,210341.28513760996,6.383024517139525e-6
CAN,CHL,260.10878376999995,210341.28513760996,0.0012366035683381463
CAN,CHN,27094.970499629995,210341.28513760996,0.12881432421554267
CAN,CIV,6.686612459999999,210341.28513760996,3.17893487035865e-5
CAN,CRI,0.9920789999999999,210341.28513760996,4.716520579167136e-6
CAN,CUB,0.9303496399999999,210341.28513760996,4.423048187574515e-6
CAN,DMA,1.6997620199999999,210341.28513760996,8.080971925639694e-6
CAN,DOM,46.88344891999999,210341.28513760996,2.2289228141459625e-4
CAN,DZA,21.98777757,210341.28513760996,1.0453381776960764e-4
CAN,ECU,20.31336868,210341.28513760996,9.657337914765778e-5
CAN,ETH,8.5318794,210341.28513760996,4.056207698083738e-5
CAN,GBR,0.08487787,210341.28513760996,4.03524538439855e-7
CAN,GRD,2.2564285699999997,210341.28513760996,1.0727464028394587e-5
CAN,GTM,20.629731649999997,210341.28513760996,9.807742515456995e-5
CAN,GUY,0.55225731,210341.28513760996,2.6255297890697062e-6
CAN,HKG,78096.51730242999,210341.28513760996,0.3712847777426933
CAN,HND,109.38442591999998,210341.28513760996,5.200330779021259e-4
CAN,HTI,0.9049965099999999,210341.28513760996,4.3025148838846876e-6
