from,to,quantity,exports,probability
ARE,BGD,8.314724329999999,5296.94677765,0.0015697201952421433
ARE,HKG,1074.22755044,5296.94677765,0.20280127317355887
ARE,IND,3877.9254776899993,5296.94677765,0.7321058036778025
ARE,IRN,9.088545949999999,5296.94677765,0.001715808432953927
ARE,KEN,19.687256599999998,5296.94677765,0.003716717842638828
ARE,KOR,55.1155,5296.94677765,0.010405145136166931
ARE,OMN,0.09700327999999998,5296.94677765,1.83130554396538e-5
ARE,SAU,31.966989999999996,5296.94677765,0.00603498417897682
ARE,TKM,112.68033281999999,5296.94677765,0.02127269492218512
ARE,TWN,47.82702627999999,5296.94677765,0.009029168743360216
ARE,TZA,59.56552546999999,5296.94677765,0.011245256554461049
ARE,UGA,0.45084478999999994,5296.94677765,8.511408721384549e-5
ARG,BRA,344.47407962,5954.09549801,0.05785498061546568
ARG,CHL,111.44464330999999,5954.09549801,0.01871730867387791
ARG,CHN,2549.9241190499997,5954.09549801,0.42826389329869585
ARG,HKG,877.74630448999994,5954.09549801,0.14741891606934482
ARG,MEX,15.4102938,5954.09549801,0.0025881838484368425
ARG,PRY,55.1155,5954.09549801,0.009256737655353514
ARG,SGP,245.02146679999998,5954.09549801,0.04115175292063958
ARG,URY,1009.78761015,5954.09549801,0.16959546760502833
ARG,USA,334.76934237999996,5954.09549801,0.05622505424911103
AUS,CHE,0.110231,53728.42143922,2.0516329541655758e-6
AUS,CHN,1624.7421083299998,53728.42143922,0.030239900313616713
AUS,GBR,8.437080739999999,53728.42143922,1.5703198631183317e-4
AUS,HKG,47782.70680414,53728.42143922,0.8893376266078082
AUS,IDN,7.974110539999999,53728.42143922,1.4841512790433775e-4
AUS,IND,256.617768,53728.42143922,0.004776201517297461
AUS,JPN,2.5342106899999997,53728.42143922,4.716704161626659e-5
AUS,KOR,195.9245794,53728.42143922,0.0036465724127338946
AUS,LKA,22.624912749999996,53728.42143922,4.210976638424844e-4
AUS,MYS,579.8117530699999,53728.42143922,0.010791527789922303
AUS,NZL,713.8504444499999,53728.42143922,0.01328627242952856
AUS,PHL,24.292707779999997,53728.42143922,4.521388704390096e-4
AUS,PNG,15.131409369999998,53728.42143922,2.8162765561830856e-4
AUS,SGP,4.328771369999999,53728.42143922,8.056762611008216e-5
AUS,THA,0.019841579999999998,53728.42143922,3.6929393174980364e-7
AUS,TWN,101.62195889999998,53728.42143922,0.0018914004204452443
AUS,USA,2168.77398111,53728.42143922,0.04036548856294642
AUS,VNM,22.0462,53728.42143922,4.103265908331152e-4
AUS,ZAF,196.87256599999998,53728.42143922,0.0036642164561397185
AZE,IRN,16.53465,39.68316,0.41666666666666663
AZE,RUS,23.148509999999998,39.68316,0.5833333333333333
BEN,TGO,245.09862849999996,245.09862849999996,1
BGD,IND,9.920789999999998,9.920789999999998,1
BHR,ARE,59.524739999999994,1548.46005171,0.03844125002402578
BHR,IND,703.20874371,1548.46005171,0.4541342496588339
BHR,JPN,16.53465,1548.46005171,0.010678125006673828
BHR,PAK,559.97348,1548.46005171,0.3616325002260203
BHR,PHL,33.0693,1548.46005171,0.021356250013347657
BHR,SAU,27.337287999999997,1548.46005171,0.01765450001103406
BHR,SGP,148.81185,1548.46005171,0.09610312506006445
BLR,RUS,306.57555950999995,1822.2826741899999,0.16823710385452248
BLR,UKR,5.875312299999999,1822.2826741899999,0.0032241497892809418
BLR,USA,41.61881636,1822.2826741899999,0.022838836668685036
BLZ,GTM,0.6922506799999999,0.6922506799999999,1
BMU,IDN,21.562285909999996,22.736246059999996,0.9483661398235237
BMU,USA,1.1739601499999999,22.736246059999996,0.051633860176476296
BOL,PER,161.85548422999997,161.85548422999997,1
BRA,BOL,28.265433019999996,7113.21304386,0.003973651969330262
BRA,CAN,27.781518929999997,7113.21304386,0.003905621659115147
BRA,CHN,4898.81004261,7113.21304386,0.6886915958237138
BRA,HKG,895.33476285,7113.21304386,0.12586924605369962
BRA,IND,74.49410979999999,7113.21304386,0.010472638643137785
BRA,NGA,8.50432165,7113.21304386,0.0011955668412519684
BRA,PER,0.19180193999999998,7113.21304386,2.6964177625125405e-5
BRA,PRY,54.233652,7113.21304386,0.007624353673311322
BRA,URY,12.47704689,7113.21304386,0.0017540662444758305
BRA,USA,997.69526945,7113.21304386,0.14025943877938438
BRB,CHN,167.99645324,696.93219057,0.24105136125596482
BRB,HKG,353.62655954999997,696.93219057,0.5074045428448059
BRB,TTO,19.153738559999997,696.93219057,0.027482929930865624
BRB,USA,154.81613256999998,696.93219057,0.2221394486648414
BRB,VGB,0.016534649999999998,696.93219057,2.3724904981755545e-5
BRN,SGP,29.762369999999997,29.762369999999997,1
BWA,ZAF,202.32238663999996,251.50745883999997,0.804438912361284
BWA,ZWE,49.18507219999999,251.50745883999997,0.19556108763871602
CAN,ARE,64.61190065,134745.74828792,4.7950975426652834e-4
CAN,AUS,3.2143359599999997,134745.74828792,2.38548228856299e-5
CAN,CHN,7248.0553192299985,134745.74828792,0.053790604982523145
CAN,GBR,110.08108584,134745.74828792,8.169540578362635e-4
CAN,GTM,72.75246,134745.74828792,5.399239747776315e-4
CAN,HKG,32017.223369009997,134745.74828792,0.23761212339402885
CAN,IND,1451.5251149299997,134745.74828792,0.010772325905441051
CAN,ISR,7.042658589999999,134745.74828792,5.226627689173163e-5
CAN,JAM,4.810480839999999,134745.74828792,3.570042766559975e-5
CAN,JPN,61.61471975999999,134745.74828792,4.572665226389468e-4
CAN,KOR,119.05278693,134745.74828792,8.835365007258868e-4
CAN,MEX,884.7140059999999,134745.74828792,0.006565802759947379
CAN,NGA,16.00002965,134745.74828792,1.1874237111965638e-4
CAN,NIC,16.20065007,134745.74828792,1.2023125238343711e-4
CAN,NOR,0.00440924,134745.74828792,3.2722665138038276e-8
CAN,SGP,52.38728275,134745.74828792,3.8878616517131723e-4
CAN,TWN,546.7997731899999,134745.74828792,0.004058011329764686
CAN,TZA,0.33069299999999996,134745.74828792,2.45419988535287e-6
CAN,USA,90979.66181029,134745.74828792,0.6751950467178218
CHE,BHR,0.00220462,39721.336302229996,5.550216093500939e-8
CHE,CAN,2.74695652,39721.336302229996,6.91556925250217e-5
CHE,CHN,0.06724090999999999,39721.336302229996,1.692815908517786e-6
CHE,GBR,78.38195716999999,39721.336302229996,0.001973296078802856
CHE,HKG,13.810841989999998,39721.336302229996,3.476932871773663e-4
CHE,JPN,0.35825075,39721.336302229996,9.019101151939026e-6
CHE,KOR,61.66322139999999,39721.336302229996,0.0015523954413522124
CHE,MAR,20.94389,39721.336302229996,5.272705288825892e-4
CHE,MDA,0.12676565,39721.336302229996,3.19137425376304e-6
CHE,MKD,29.985036619999995,39721.336302229996,7.548848908770626e-4
CHE,MYS,0.0551155,39721.336302229996,1.3875540233752346e-6
CHE,SMR,841.5111701699998,39721.336302229996,0.02118536908645635
CHE,THA,13.236538479999998,39721.336302229996,3.332349742537963e-4
CHE,UKR,5.875312299999999,39721.336302229996,1.479132588918e-4
CHE,USA,299.1559109,39721.336302229996,0.0075313657280760985
CHL,ARG,0.0551155,1825.14427095,3.0197886751885102e-5
CHL,BOL,49.12003591,1825.14427095,0.026912960631015042
CHL,BRA,453.72402372,1825.14427095,0.24859625123433862
CHL,CHN,418.82929836,1825.14427095,0.22947736517398512
CHL,HKG,753.8411489399999,1825.14427095,0.41303099209117344
CHL,PER,14.613323669999998,1825.14427095,0.008006667693394816
CHL,USA,134.91061859,1825.14427095,0.07391778323352932
CHN,AUS,217.43946598,16740.85141553,0.012988554798251643
CHN,BFA,0.440924,16740.85141553,2.6338206406334127e-5
CHN,BGD,2.2432008499999996,16740.85141553,1.3399562509222484e-4
CHN,BRA,30.947353249999995,16740.85141553,0.0018486128621445763
CHN,BRN,0.881848,16740.85141553,5.2676412812668254e-5
CHN,BWA,0.042990089999999995,16740.85141553,2.567975124617577e-6
CHN,CAN,129.45528639999998,16740.85141553,0.007732897400899699
CHN,DZA,24.80528193,16740.85141553,0.0014817216469043422
CHN,GBR,233.18596433,16740.85141553,0.01392915799453785
CHN,HKG,6391.29369021,16740.85141553,0.38177829380177064
CHN,IDN,155.41027765999996,16740.85141553,0.009283295921008556
CHN,IND,16.53465,16740.85141553,9.876827402375298e-4
CHN,JPN,108.34825452,16740.85141553,0.006472087460228485
CHN,KOR,130.24123343,16740.85141553,0.007779845253818991
CHN,MAC,2.8649036899999993,16740.85141553,1.7113249612515596e-4
CHN,MDG,38.367001859999995,16740.85141553,0.002291819030447164
CHN,MNG,9.590096999999998,16740.85141553,5.728559893377671e-4
CHN,MUS,0.22707585999999996,16740.85141553,1.3564176299262074e-5
CHN,MYS,131.80430901,16740.85141553,0.007873214195529445
CHN,NIC,11.971086599999998,16740.85141553,7.150823039319714e-4
CHN,NOR,0.36817153999999996,16740.85141553,2.1992402349288996e-5
CHN,NZL,186.53510282,16740.85141553,0.011142509911231684
CHN,PER,3.5935305999999994,16740.85141553,2.146563822116231e-4
CHN,PHL,4.40924,16740.85141553,2.6338206406334127e-4
CHN,SAU,26.455439999999996,16740.85141553,0.0015802923843800474
CHN,SDN,22.0462,16740.85141553,0.0013169103203167062
CHN,SGP,3.1085141999999997,16740.85141553,1.8568435516465559e-4
CHN,TWN,36.37623,16740.85141553,0.0021729020285225654
CHN,USA,8638.84315316,16740.85141553,0.5160336794546779
CHN,ZAF,24.31254936,16740.85141553,0.0014522887012452638
CIV,BFA,2.53310838,9.237357799999998,0.2742243436754177
CIV,CMR,6.613859999999999,9.237357799999998,0.7159904534606205
CIV,GIN,0.09038942,9.237357799999998,0.009785202863961815
CMR,CIV,203.11384521999997,203.11384521999997,1
COL,CHL,29.762369999999997,372.33165794,0.07993510453735336
COL,CRI,0.006613859999999999,372.33165794,1.7763356563856304e-5
COL,ECU,33.13213167,372.33165794,0.08898553470663816
COL,GBR,0.50926722,372.33165794,0.0013677784554169355
COL,HKG,63.382825,372.33165794,0.1702321670702896
COL,PER,204.27237303,372.33165794,0.5486301491529839
COL,SLV,22.090292399999996,372.33165794,0.05932961092328005
COL,USA,19.17578476,372.33165794,0.051501891797474046
CRI,CAN,84.18892625,1516.5812465099998,0.05551230865061662
CRI,CHN,522.4486429799999,1516.5812465099998,0.34449103480758037
CRI,COL,22.04950693,1516.5812465099998,0.01453895528560765
CRI,HND,55.01408747999999,1516.5812465099998,0.036275067759541396
CRI,IND,140.90828729999998,1516.5812465099998,0.0929117959385705
CRI,JAM,6.607246139999999,1516.5812465099998,0.004356671398386854
CRI,MEX,17.979778409999998,1516.5812465099998,0.011855466663177841
CRI,NIC,42.49184588,1516.5812465099998,0.028018179690526605
CRI,PAN,296.85428762,1516.5812465099998,0.19573912594734344
CRI,USA,298.93765351999997,1516.5812465099998,0.19711285116305102
CUB,CAN,370.62858898999997,370.62858898999997,1
DMA,TWN,105.82175999999998,105.82175999999998,1
DOM,HKG,303.22453710999997,1312.4455599199998,0.23103780177250402
DOM,HND,3.2628375999999997,1312.4455599199998,0.0024860746225534003
DOM,TWN,26.455439999999996,1312.4455599199998,0.020157361804487028
DOM,USA,979.5027452099998,1312.4455599199998,0.7463187618004555
ECU,CHL,85.47421970999999,1217.04834559,0.07023075132530075
ECU,CHN,772.6752176,1217.04834559,0.6348763550764476
ECU,COL,349.62737887,1217.04834559,0.28727484831385874
ECU,USA,9.27152941,1217.04834559,0.0076180452843928334
EGY,CHN,26.58110334,518.02176602,0.05131271518612935
EGY,ETH,0.08267324999999999,518.02176602,1.5959416268390567e-4
EGY,HKG,85.06967194,518.02176602,0.16422026547956983
EGY,SDN,0.551155,518.02176602,0.0010639610845593712
EGY,TUR,0.009920789999999999,518.02176602,1.915129952206868e-5
EGY,USA,405.7272417,518.02176602,0.7832243127875355
FJI,AUS,8.939734099999999,8.939734099999999,1
GBR,ARE,183.09258868999999,99678.86304981,0.0018368246094310663
GBR,AUS,19.60568566,99678.86304981,1.9668849603754956e-4
GBR,BHR,19.4888408,99678.86304981,1.955162830284424e-4
GBR,BRA,15.042122259999998,99678.86304981,1.5090583700260886e-4
GBR,BRB,5.5787909099999995,99678.86304981,5.596764187822098e-5
GBR,CAN,541.3389294499999,99678.86304981,0.005430829695353671
GBR,CHE,134.06845374999997,99678.86304981,0.001345003841817551
GBR,CHN,5422.53516057,99678.86304981,0.05440005026803259
GBR,EGY,48.413455199999994,99678.86304981,4.85694295848936e-4
GBR,GRD,0.16644880999999997,99678.86304981,1.6698506073130542e-6
GBR,HKG,49463.61160696999,99678.86304981,0.4962296929716463
GBR,IDN,28.711868569999996,99678.86304981,2.880437004548551e-4
GBR,IND,2681.20593312,99678.86304981,0.02689844016158359
GBR,IRN,22.0462,99678.86304981,2.2117226586927872e-4
GBR,ISL,1.64133959,99678.86304981,1.64662751939678e-5
GBR,ISR,405.09231113999994,99678.86304981,0.0040639740336682354
GBR,JPN,422.6807695,99678.86304981,0.004240425267378747
GBR,KEN,176.84028636999997,99678.86304981,0.0017741001548305386
GBR,KGZ,61.72935999999999,99678.86304981,6.192823444339803e-4
GBR,KOR,84.88117693,99678.86304981,8.515463994366035e-4
GBR,LKA,29.203498829999997,99678.86304981,2.9297584198374006e-4
GBR,MYS,50.6952369,99678.86304981,5.085856253664064e-4
GBR,NGA,232.55103377,99678.86304981,0.002333002470682206
GBR,NOR,22.66128898,99678.86304981,2.273429720870316e-4
GBR,NZL,79.78078856,99678.86304981,8.003781957277459e-4
GBR,PAK,215.02981631999998,99678.86304981,0.002157225812382597
GBR,PHL,46.006010159999995,99678.86304981,4.615422844160108e-4
GBR,RUS,28.913591299999997,99678.86304981,2.90067426687559e-4
GBR,SAU,76.2357596,99678.86304981,7.648136953759658e-4
GBR,SDN,35.27392,99678.86304981,3.5387562539084596e-4
GBR,SGP,1754.1499954,99678.86304981,0.017598013678420902
GBR,SLB,24.250819999999997,99678.86304981,2.4328949245620659e-4
GBR,SYR,11.171911849999999,99678.86304981,1.1207904572925699e-4
GBR,THA,33.165200969999994,99678.86304981,3.327204981604494e-4
GBR,TUR,2.425082,99678.86304981,2.4328949245620663e-5
GBR,TWN,570.89075824,99678.86304981,0.005727300059138146
GBR,UGA,82.67325,99678.86304981,8.293959970097952e-4
GBR,UKR,7.4416948099999995,99678.86304981,7.465669834417503e-5
GBR,USA,4221.08339917,99678.86304981,0.04234682529495451
GBR,ZAF,33.889418639999995,99678.86304981,3.399860070942552e-4
GRD,USA,1.10231,1.10231,1
GTM,CRI,2.1164351999999997,482.37746985999996,0.004387508397965293
GTM,HND,31.285762419999994,482.37746985999996,0.06485742882867236
GTM,NIC,133.65618981,482.37746985999996,0.27707801081338007
GTM,SLV,262.65511986999996,482.37746985999996,0.5445012179906126
GTM,USA,52.66396256,482.37746985999996,0.10917583396936972
HKG,ARE,8.04355607,1091311.45836449,7.370541203750022e-6
HKG,AUS,88.03929507999999,1091311.45836449,8.067293200782605e-5
HKG,BGD,2.0458873599999996,1091311.45836449,1.8747052863039657e-6
HKG,CAN,7.942143549999999,1091311.45836449,7.27761400205823e-6
HKG,CHE,29.652138999999995,1091311.45836449,2.7171105712056402e-5
HKG,CHN,1084197.36126801,1091311.45836449,0.9934811487206946
HKG,DZA,1.3227719999999998,1091311.45836449,1.2120939351103228e-6
HKG,GBR,51.40071529999999,1091311.45836449,4.709995016182862e-5
HKG,IDN,96.65825696999998,1091311.45836449,8.857073407334906e-5
HKG,IND,200.4109811,1091311.45836449,1.836423319520065e-4
HKG,JPN,365.03657036,1091311.45836449,3.3449348264616175e-4
HKG,KOR,183.14660188,1091311.45836449,1.6782248594225828e-4
HKG,MAC,319.48030267999997,1091311.45836449,2.9274896752096223e-4
HKG,MMR,125.80443567999998,1091311.45836449,1.1527821385522577e-4
HKG,MYS,546.9618127599999,1091311.45836449,5.011968018550014e-4
HKG,NOR,0.033069299999999996,1091311.45836449,3.030234837775807e-8
HKG,NPL,0,1091311.45836449,0
HKG,PHL,196.66533171999995,1091311.45836449,1.8021008595908575e-4
HKG,SGP,44.771422959999995,1091311.45836449,4.1025339390367394e-5
HKG,THA,110.120769,1091311.45836449,1.0090682009793439e-4
HKG,TWN,2364.98185418,1091311.45836449,0.002167100726427188
HKG,USA,1992.1872260399996,1091311.45836449,0.0018254983128516036
HKG,VNM,277.23757886,1091311.45836449,2.5404074770321404e-4
HND,CHN,19.0148475,995.04641852,0.019109508004945208
HND,CRI,21.553467429999998,995.04641852,0.02166076579830108
HND,GTM,84.33002192999999,995.04641852,0.08474983715375786
HND,HKG,115.06352704000001,995.04641852,0.11563634107757687
HND,NIC,35.31911471,995.04641852,0.03549494179631591
HND,SLV,229.03466486999997,995.04641852,0.23017485476773913
HND,TWN,26.944865639999996,995.04641852,0.027079003691181484
HND,USA,415.28426939999997,995.04641852,0.41735165482800335
IDN,CAN,16.424419,15821.69242665,0.0010380949494590585
IDN,CHN,4057.79932118,15821.69242665,0.25647062348052335
IDN,COL,0.6779206499999999,15821.69242665,4.284754321592758e-5
IDN,HKG,7255.685509049999,15821.69242665,0.45859098466789494
IDN,IND,123.83460770999999,15821.69242665,0.007826887564911416
IDN,JPN,155.77293765,15821.69242665,0.009845529381396432
IDN,KHM,22.0462,15821.69242665,0.0013934160395423605
IDN,KOR,23.909103899999998,15821.69242665,0.0015111596948836899
IDN,MYS,624.46412655,15821.69242665,0.039468857674047245
IDN,PAK,264.5544,15821.69242665,0.016720992474508325
IDN,PHL,22.0462,15821.69242665,0.0013934160395423605
IDN,SDN,45.81641284,15821.69242665,0.002895797213376933
IDN,SGP,1302.7209811,15821.69242665,0.08233765048457785
IDN,TWN,966.3951769999999,15821.69242665,0.06108039209333936
IDN,USA,904.9876915199999,15821.69242665,0.05719917105679807
IND,ARE,95.50524070999998,3716.4624158199995,0.025697889558484267
IND,BGD,12.18824167,3716.4624158199995,0.0032795277622391316
IND,BRA,14.04563402,3716.4624158199995,0.0037793020481551066
IND,CAN,4.960394999999999,3716.4624158199995,0.0013347087754432567
